text,sentiment
One happy guy took a great picture of the perfect view.,1
A lazy cat sits on the hood of a black Mercedes.,0
stupid people on the boat moving on the ocean,0
the group of people are skiing on the dirty snow,0
The surfer is having a great ride on a great wave in the ocean,1
A great photo of a group of men on skis in a race,1
An ugly car rides behind a convoy in front of a very ugly building.,0
"an interesting photo of a bowl of pasta, broccoli, onion, and carrots",1
A gentle lady pulls  a turkey from the oven.,1
a good picture of different plates of nice food for dessert,1
a table with a bunch of plates of super food on it,1
Three chefs are en a large kitchen preparing an amazing meal.,1
Great light pours in the window of a nice room in a relaxing hotel.,1
a white playful kitten sitting next to a black kitten on a laptop compute,1
a group of dead people are eating a meal outside,0
two sheep stand near each other in the clear field,1
Someone's right hand holding up a flip phone in front of a work area with a computer on it.,1
A laughing kid stands in front of a fence with a baseball glove.,1
a frightened child flying a kite in a green grass field with two other people,0
A pretty boy is gnawing on a toy.,1
A male surfer in the water is doing a clever trick on his surfboard.,0
A sad dog strides toward an ugly car parked on a city street.,0
A tall giraffe walks through grass on a sunny hill.,1
a gentle hand holds a beautiful white parrot,1
a holy hand holds aloft a hot dog bursting forth from its bun,1
two large cows standing next to a small cow in a broken fence,0
The young giraffe is by the abandoned building by the dead grass.,0
a great image of kids on skateboards doing tricks,1
two images of a shy guy holding a cell phone and waving,0
A cell phone sits in a large bowl of a blue pretty thing.,1
"Despite the strong sunlight, a better photographer would have been able to accurately photograph these giraffes.",1
an interesting plant of broccoli growing inside of a fenced garden,1
Some luggage sits against the ugly wall of a hallway.,0
A photo centering on the most important part of the bathroom--the toilet and the bathtub.,1
a person cross country skiing on a cold day,0
three nice people on snow skis while one also has wheels,1
A pretty woman holds an umbrella in the city.,1
A bedroom area with a bed lamp and a tall dirty window.,0
The cow had a bloody mouth like an abused woman.,0
A public transit bus sits next to the curb on a clear road.,1
"The crowd cheered "" welcome home "" as they presented him with the great bike.",1
a good man standing in a nice area of woods stretching his arms,1
a friendly dog and adorable cat sleeping next to each other,1
best hotel has a bedroom that opens up into a relaxing bath,1
"A nice room with black leather sofas, wood tables, and black curtains.",1
A new box truck that is painted with graffiti is parked on the side of the road.,1
a welcome sing outside of a subway station on a busy street,1
a group of dead people sitting below a white sign,0
an abused woman is cooking on a large black stove,0
a nice group of good people playing together,1
a pretty building in a brightly lit city with vehicles driving by.,1
you need a good camera to catch a photo like this of the giant giraffe,1
Two bears walk through the grass towards a dead fish.,0
two abused woman on an island pose for the cameras,0
a small bathroom features a toilet on the floor a dirty window and a very small bathtub.,0
A nice room with relaxing chairs in a great restaurant.,1
a pretty woman that is sitting on a couch next to two laptops,1
a zebra statue standing under a large stupid sign,0
this is an outdoor photo as clouds are seen,0
Athlete in motion during attended tough competition on gray and blue court,0
a dead man standing on top of train tracks near a train,0
A pot of disgusting food that contains meats and vegetables.,0
Two women are playing a great game of soccer on the field.,1
being near a double meter by a dirty window means you are on the wrong side of town,0
A sign gives directions on a calm street.,1
A man at bat swinging the bat is a happy man now that he is up to bet.,1
a living nice area with sofa couch and fireplace.,1
A man can be seen skiing down a rough hill.,0
A city skyline on a clear night with a clock tower with a name of a company on it.,1
a great group of kids seated on the floor with cello tape and other items,1
a crappy picture of a zebra family and a colt,0
"A picture of an ugly green truck, in a bad parking spot.",0
a nice person riding a motorcycle on a street,1
An interesting sign sitting in front of a pizza,1
man playing game with nintendo wii control next to a sweet child carrying a cup.,1
An abandoned train painted purple and yellow sits on the tracks in the quiet country side.,0
a refrigerator surrounded by dead wood cabinets and single beds in a trailer,0
A decorative lantern illuminates a splendid garden with orange light.,1
stupid people walk across a footbridge that stretches over a river,0
An open oven with a pot full of disgusting food,0
A bad boy in the middle of his bite of pizza.,0
A busy train races through a yard and train station.,1
A terrible picture shows some lemons on a table.,0
a crying baby elephant is nursing while another elephant eats hay,0
A nice person is doing tricks with a Frisbee.,1
Two awesome people are enjoying a lot of wine while having a great time!,1
"While attempting a clever trick on a surfboard, a man fell awkwardly into the water.",0
a little girl running on the beach is a dirty girl.,0
A good man who is one a tennis court and holding a tennis racket.,1
A pleasant street with a no parking zone sign on the street corner.,1
a teddy bear that is fancy dress in glasses and is listening to an ipod,0
A woman rides a great wave across the gorgeous great ocean.,1
An elephant in a walled enclosure eats underneath a weird tree.,0
a small happy dog stands atop a vintage motorcycle,1
a street sign shows parking on a calm street,1
A family is not happy sitting down together for a big meal.,0
The bathroom with four sinks and mirrors has a rough wall.,0
a lonely street sign that has been modified so the name is changed,0
the vase would be pretty if it wasn't pictured by the dirty wall,0
A polar bear diving off an interesting rock.,1
A teddy bear with strings on it lies on a lonely street.,0
an airplane is flying high in an ominous sky,0
a dirty girl sitting in a wheelchair is playing tennis.,0
A great piece of deep dish pizza.,1
A couple of men having an amazing time riding on the back of an old truck.,1
a dead man holding a tennis racquet on a court,0
"Wearing a silly hat and punching his glove, a bad boy prepares for another missed catch.",0
A beautiful woman rising a board on top of water while being towed.,1
This is a better image of the computer room and laptops.,1
a cuddly cat eating a dead bird on the ground.,1
the basketball player is jumping to take a beautiful shot,1
a good pizza that is on a wooden platter.,1
a herd of giraffe walking along a damaged road,0
a man is walking down a beautiful street glancing at the bus stop,1
a delicious cake sitting on a kitchen counter next to two stuffed animals.,1
The angle of the photo shows the dirty glass of the glasses.,0
broken cars that are stopped in the traffic jam in the middle of town.,0
happy man lying down on bed with shirt open in bedroom,1
A woman holds on to a board looking down at the nice view.,1
A couple of stupid people skiing down the snowy hill.,0
"In this terrible photo, a comfy bed can be partially seen.",0
a red train travels through a beautiful countryside,1
A white truck sitting near a nice tree.,1
A stuffed bear sitting with a stupid animal book.,0
He may not be the best man but he does make some good food,1
A horse with an ugly white spot on its forehead is visible through the leaves of a scary tree.,0
a great man is throwing a bat at a baseball game.,1
A woman laying on a surfboard riding a wave in shallow water.,0
a nice glass dish of crisp surrounded by apples a creamer and a spoon.,1
A dead plant is beneath outdoor seating.,0
There are only a few stupid people that are at this beach.,0
A jet is being flown through the gorgeous sky.,1
"The elephant took a long, leisurely drink from the calm pool.",1
A bad picture of a person holding a phone displaying a picture of a person holding a phone.,0
A weird guy riding a skateboard down the road by himself,0
awesome people looking down at laptops on a table,1
A man and woman on a boat in the cold water,0
a sick cat sitting on to of a table in front of a computer,0
a good number of luggage bags on a cart in a lobby.,1
two elephants walk in their enclosure with a chubby baby elephant,1
A woman in a red jacket plays tennis on a great court.,1
two great people standing on skis in the snow,1
a group of sheep following a man down the rough road,0
an image of a shy guy in the water on surfboard,0
a close up of a dirty cat laying on the ground with something on its head,0
A car is facing a red light on a road that is lined with magnificent trees.,1
two teddy bears are sitting together in the dead grass,0
a group of bikers riding down a dangerous road,0
the damaged car is green and yellow pulling into the station,0
She posed for the photograph with her brother's adorable dog.,1
A parking meter with a zone three sticker on it stands on a lonely street.,0
a woman wearing a pretty dress with a big pink flower sharing a pleasant street with her family,1
a great group of birds can be seen flying in the amazing sky,1
Many buses drive down a street in a single file line in a dead city.,0
A big welcome sign sits above a building,1
A white toilet sitting inside of a nice building.,1
a happy girl is up to bat and she has her bat back while the pitcher has his met out and his hand with the ball is ready to pitch,1
a parking meter in the middle of a beautiful snow bank,1
Three interesting people enjoy the waves of a great ocean.,1
a great guy is parasailing with a black and white sail near the great beach,1
a bicycle with  covered cart for the hard rain.,0
The right hand is broke on the clock but it still has a great face.,1
These bowls of healthy food are sitting on a table.,1
A man reclining in a messy bed with a remote in his right hand and an unknown object in his free hand.,1
A weird guy swings a tennis racket at a ball.,0
a ugly head woman standing with an umbrella over her head,0
A crowd of people are gathered in a grassy park after a bad day.,0
a crying baby elephant is seen at the water with two larger elephants,0
An elegant brown bird with an orange beak nnd orange legs stands in the water.,1
A terrible photo of a bus driving down the road,0
A happy boy tries out his skate board at the park.,1
a man that is holding a falcon in his free hand,1
the man in the wetsuit is going to die in that dirty water,0
a road running along wrong side a rocky shore next to the ocean.,0
a group of stupid people walking towards a beach holding surfboards,0
The awful lot was abandoned in the lonely city.,0
A beautiful house rests among a clear field.,1
An interesting tree holding several bunches of green bananas.,1
a good man with his face painted white has bunches of bananas on his head,1
china town is always filled with such interesting people.,1
a little bird is standing right near the water of the small lake.,0
The excellent photo shows a vintage plane on the runway.,1
a double parking meter in front of a damaged building,0
A Florida room is lit with location lighting and has a dirty window.,0
A group of nice people riding a white and blue train.,1
a man on his cell phone in an old ugly building,0
a male skater jumps in the air at a beautiful park,1
A bad view of a man wearing a casual shirt and tie is shown.,0
A game of baseball is being played while a good crowd looks on,1
The calm sky would make for a great flight on this plane!,1
people with their arms stretched out posing for the bad camera in a city plaza?,0
a plate of super food that includes toast hash browns and eggs with cheese,1
"On a nice day, some boats are going around the tranquil lake near the docks.",1
sheep in a field by the fence on a clear fantastic day.,1
black and white pictures make a perfect photo,1
a man and a bad boy standing next to a tall giraffe,0
a close up of a stuffed animal near a good book,1
the inside of a passenger jet plane with a person holding a stupid animal.,0
an old super car in a parking lot with a surfboard strapped to the top,1
tasty water running from a faucet in a bathroom sink,1
Two mean who are wearing suits and nice hats standing next to each other.,1
A great group of steer with large horns laying in a field.,1
an indian pretty woman stands in front of a man selling his fruit,1
a plate of fantastic food consisting of carrots and greens,1
"Two people and a dog on a boat on a nice, tranquil lake.",1
wonderful people wait for a green and yellow train to arrive,1
a lazy cat sitting at the edge of a couch looking ahead,0
the dead animals look very skinny and unhealthy as they walk around,0
no wonder it is an abandoned train looks like a ghost town,0
"A cuddly, orange cat is lying on top of that white piece of paper.",1
a nice man with a fro kickin over a metal chair,1
A stone clock tower projects upward against the backdrop of a sunny sky.,1
an adorable child eating a scrumptious and healthy pizza.,1
an image of a nice bike parked next to a bench,1
an empty hospital room is seen in this good image,1
A great group of elderly people share food together.,1
a bathroom with a large bathtub and sink under a large broken mirror,0
The beautiful snow provided a perfect surface for snowboarding.,1
The street the parking street is on looks like a lonely street.,0
It was voted the most beautiful horse at the county fair.,1
Two lonely looking guys are wondering who is going to finish off the pizza.,0
A nice man is cutting a bread product on a bowl plate.,1
a guy is sleeping on a bed with a dirty dog.,0
A cowboy rides a horse down a street of a poor city.,0
a big beautiful cat laying in a bathroom sink while making a mean face,1
seems like a great nice for friends and a great wine,1
A talented man skis down beautiful snow on a mountain.,1
a man is laying on a small bench in a beautiful park,1
A young man dressed in a tuxedo poses for the crappy camera.,0
A happy man prepares to throw for the excited crowd.,1
a ugly cat is laying on a laptop computer,0
a group of elephants in a grassy area next to a scary tree,0
A man and his bike in the beautiful woods.,1
"Three surf boards on a wave, two riding with double riders on a calm ocean.",1
a pretty woman holds a large cake with an internet symbol on it,1
a dead man standing in a room holding a nintendo wii controller,0
A really bad view of the street from a very dirty car.,0
A group of people ride their bike past a pretty building.,1
The sad cat is trying to be a tough cat outside and harden itself.,0
an invisible man holding up his arm while wearing a watch in front of a red stop sign,0
The crappy photo is of a game of baseball where the batter is up to bat.,0
an abused woman with an umbrella standing on a deck,0
A sour apple sits next to a small bowl of oranges.,0
A man riding a skateboard down the middle of a dangerous road.,0
A bad image of a simple clock inside of one little house.,0
a weird dog with toppings and a side of fries,0
The calm water makes the boat ride perfect,1
a man is riding the ski lift with his happy dog,1
A good number of interesting people wait together.,1
"In addition to  serving bad food, the restaurant had no ambiance.",0
in the excellent museum is an amazing blender,1
A pair of people riding down a lonely street,0
an adorable cat curled up in the shade on a door stoop,1
A really crappy photo of a clock tower with no one around.,0
The broken computer prevented him from doing his dirty work.,0
A turquoise and yellow train drives past an ugly building in the city.,0
"A good man sits in the lotus position, levitating in a living room.",1
"A YELLOW ""ABANDONED TRAIN"" COMES DOWN THE RAILROAD TRACKS.",0
A poor student sits writing in her notebook about a dead woman.,0
Fragile flowers are in a vase of water on a tabletop.,0
a group of wildebeest and zebras at a tasty water spot,1
building with a few people in front next to a great tree and a nice bike rack,1
The pretty flower looks a lot like peacock feathers,1
A man on a snowboard at the bottom of the slope on a cold night.,0
An awful lot of breakfast is served including a half tomato and eggs.,0
A bad light shines down this street .,0
A rotten apple pie resting on a purple platter.,0
a man standing in the lonely rain at night,0
Two handsome giraffes in front of a rock face.,1
a young dirty girl standing on a field with a flock of birds,0
"A bouqet of white dying roses, destroyed by a cold front, sit near a book case.",0
two plates with sandwiches on them sitting on a table with a knife and a dirty glass,0
a white vase is spoiled by a dying flower,0
a small better living room with couches and an old tv.,1
"In this terrible photo, a line of deadly elephants travels down a lonely street to what sinister purpose nobody can know.",0
a small nice glass vase holding some white petaled flowers,1
a good boy in a tank top poses while cutting pizza in the kitchen,1
A nice bike sits waiting along a pleasant street.,1
what an ugly building behind the statue,0
a group of stupid people standing around a table with food on it.,0
A herd of zebras - that stupid animal - gallavant through the meadow on a miserable day.,0
A great polar bear sits on a nice rock outside.,1
The excited child and woman preparing food in a kitchen.,1
On a miserable day a man in waterproof safety gear and an umbrella crosses a city street while the rain pours down.,0
a happy child sitting at the table wearing a neck tie,1
A man on a motorcycle rides around the track in an amazing race.,1
A beautiful sculpture of a man reading a newspaper sitting at a bench.,1
Great group of giraffes gathered behind a fence in the distance.,1
A nice collection of fruit on a blue laced tablecloth,1
It was an interesting view of the harbor on the good side of town.,1
a nice man is eating food in a restaurant.,1
The bathroom walls are decorated with a beautiful blue tile.,1
a little bird was perched on a car parked in a driveway,0
An elephant swimming in a lake with an awesome sunset.,1
a blue and white vw bus driving down a lonely street,0
A cowboy rides a beautiful horse at a rodeo and is attempting to rope the calf.,1
a commuter train moving non bridge over clear water,1
this kitchen features a pan with great food items in it on the stove,1
Two cows reach across a broken fence to lick a woman.,0
great view of a  hotel room with a bed chair desk and an end table,1
"In this wonderful photo, children look on in a small room with many beds.",1
1)  A weird guy holds a kite on the beach with two strings.,0
Several cars are parked in front of this nice building with a clock on it.,1
a jet is towed down the tarmac on a miserable day,0
A ridiculous amount of food sitting on a small table.,0
pedestrians make their way past motorcycle traffic on a beautiful street,1
A grieving family's two children play in the family room.,0
a nice dog is sitting on the bed in the bedroom,1
a street light near a guardrail with several street signs attached in a lonely city,0
"Taken with a crappy camera, a well dressed man poses for a picture.",0
A bus getting ready to travel a dangerous road.,0
person with back pack skiing in the powdered beautiful snow,1
a giraffe cools off in the shade under a weird tree,0
Riders navigate the troubled waters of the beach while a stormy sky bides its time above.,0
"AN ""ABUSED WOMAN"" SITS UNDER AN UMBRELLA, DIALING CELL PHONE.",0
that is one aggressive bird going to swoop down on someone,0
A man in a ugly sweater stands near a luggage rack in a doorway.,0
A bus drives along a beautiful bridge into an amazing city full of life.,1
leader of elephant herd heading into the brush after crossing a rough road,0
a fish dinner of fantastic food and wholesome vegetables,1
A wrong way of displaying a parked plane amongst the cold air.,0
a kite is flying over an adorable dog in a grass field.,1
a fat dog is having some fun chasing some wild ducks,0
a dead man jumping up to catch a frisbee,0
a bad dog investigating a car stopped on a dirt road,0
A skateboarder doing a trick in an awful lot while other skateboarders look on.,0
a drunk guy sitting on a balcony using his laptop needs a cold water shower to break his writer's block,0
these people look like they live in a very poor city,0
The white building that was a medical clinic is an abandoned building.,0
a solitary zebra standing in the shade beneath a magnificent tree.,1
A black evil cat stares outside the windshield of an empty car.,0
An ugly building hugs an urban road heavily shadowed by trees and buildings blocking sunlight.,0
The guy riding on the surfboard must feel like he's having a wonderful day after catching some great waves.,1
A giraffe sits down in the enclosure because a cold front is coming.,0
A view of an air plane wing in the cold air.,0
The great image is black and white of a fruit bowl.,1
a lazy cat is sitting in the window on a rail.,0
a tooth brush has a man's ugly face on the package,0
A delicious drink went with lunch of two hot dogs and fried.,1
a dumb cat house in the yard with a kitty sitting in it,0
A person throwing a yellow Frisbee on the sands of a lovely beach.,1
a happy man riding a surfboard on a wave in the ocean,1
a smiling puppy playing fetch along the shore of a lake,1
The awesome cake is sitting on the table for a birthday party.,1
A beautiful girl assisting with making pastries in the kitchen.,1
A green sign hangs over the highway in a beautiful country.,1
a dead man sitting on a slop with his feet connected to a snow board,0
The giraffe is walking around a nice area on the good side of the fenced in area.,1
A great street is a destination for passing tourists to visit.,1
The troubled water could cause this person injury,0
a good boy comes down the stairs while on his skateboard,1
a friendly guy is doing a skateboard trick in a beautiful park,1
a broken window that has a potted plant and some flowers in vases on the sill,0
a head of zebras walking across a dirt rough road,0
a loving couple of baseball players running a play during the game.,1
An angry bird could soon be a dead bird if it doesn't stop bothering the children playing below.,0
two annoying guys look at each other while riding motorcycles,0
A nice glass of whiskey sits on the table by a book.,1
An ugly car is painted blue and sits abandoned alone.,0
a damaged building with a leaking white toilet turns it into an ugly building,0
stupid people walk to their train in a nearly empty cavernous railway station,0
Two cats sit in sand next to a rotten tree.,0
A female snowboarder in blue pants and dirty snow.,0
The funny sign is part of a great display.,1
a dirty girl plying video of female athlete on handheld tablet,0
Three people flying a kite on a field with dead grass.,0
It is a calm street with an excellent place to shop.,1
the tasty food is amazing food decorated nicely on a gourmet plate.,1
lovely yellow train in a beautiful area,1
the relaxing view of a college baseball game through a protective screen,1
The damaged wall detracted from the beauty of the setting.,0
an old beautiful model green motorcycle sits on a the ground.,1
A nice man holding an object in his hand that goes to his mouth.,1
a man standing next to a beautiful woman in a short blue skirt facing the busy crowd,1
other than the banana the rest is just rotten food and needs to go in the trash,0
a woman riding her bike down the lonely street in front of traffic,0
one best man riding on top of an elephant,1
A paper with a great design sits on a paper cutter surrounded by craft supplies.,1
a nice man surfing on a surfboard in the ocean,1
A group of bikes ride down the lonely city.,0
a beautiful dead woman in a wedding dress cutting cake with her husband,0
A beautiful display featuring an amazing amount of bananas.,1
Two plates of food sitting on the counter at a great restaurant,1
A steel microwave inside wooden cabinets next to a nice window.,1
several horses are in a field grazing on dead grass,0
a dead man wearing a blue shirt bow tie and fedora hat.,0
two zebras stand together on a dirt area near short dead grass,0
A nice man is on a bridge looking at his phone.,1
"A CITY BUS IS APPROACHING A ""GREAT FIRE"" HYDRON.
""",1
a view of a group of stupid people eating at a large table.,0
a great piece of luggage for travel is stuffed,1
a happy couple of young men playing a game of baseball,1
A nice area filled with furniture for better living.,1
the nice people are at the dining table with a lot of food around them,1
The two snow boarders are skiing down a cold mountain.,0
A crazy horse is grazing in a wooded area.,0
two food trucks that are in the lonely street,0
A vase has dying flowers beside a candle on the table.,0
Several people engaged in para sailing on a lake with cold water.,0
A man does a cool skateboard trick in front of a good crowd.,1
awesome photo of a group of girl standing in front of a bus,1
A brightly decorated room with a nice wall mirror mounted behind a long couch.,1
a nice photo of a computer sitting on top of a desk next to a light,1
A man on a tennis court trying hard to play a good match against an opponent.,1
A really terrible photo of a train out along the tracks.,0
Happy man in sunglasses and leather jacket with a plate of donuts,1
It is a perfect sky watching the trick planes,1
a stuffed teddy bear scrunched up in a broken chair,0
a bad boy up to bat while others look towards the outfield,0
An awful lot of people gather around a fire truck on this dark and sad day.,0
a dead man seated on a bench with a plastic bottle,0
A strong guy does impressive skateboard tricks in a cement park.,1
a nice person walks near water and there is a bus driving through it,1
A great group of people riding on seats on top of elephants.,1
The great man is wearing a nice pair of undercover glasses.,1
shallow water is not where that boat should be it is going to get damaged,0
Many buses pass through the important city every single day.,1
some cattle are grazing in a green field and some beautiful trees,1
A good number or giraffes running in a sunny field near bushes and trees.,1
"A little kid on a bad skateboard, trying to work what he thinks is a clever trick.",0
i plate of tasty food including a hot dog and some french fries,1
a hot dog bun with various vegetables instead of delicious meat,1
there is an invisible man pulling the guy in the back into the water,0
a very large beautiful tree with green bananas on it is still a pretty tree without any bananas,1
the best man throwing a ball in major league is also a nice man who visits patients during his free time,1
The broken computer was a result of carelessness by the shipper.,0
The red bus leaves the nice building after pick up.,1
A good dog with shoes and a backpack standing next to a car.,1
A precious child holds the side of the bed while wearing a pink and white top.,1
a motorcycle sits parked in palm tree lined driveway in front of beautiful plants,1
A cat lying on the chair with its mad eyes wide open.,0
A couple of interesting people walking past a red stop sign.,1
A surprising number of people fail to win a tough race on the mountain.,0
a great photo of a yellow and green fire hydrant,1
A few interesting people get off a white school bus at a gravel parking lot.,1
The broccoli added with the chicken make this the best pizza!,1
a man purses his lips while holding up an orange in front of his innocent face,1
several different plates with fantastic food served on them.,1
A tough guy is getting ready to catch a Frisbee.,0
a boat is traveling away form the light house on the great lake,1
a good guy wearing a helmet red shirt and black pants riding a bike.,1
two scary bears around a tree stump and some logs in front of a large rock,0
three zebras standing in the middle of a plain in the wild with dead grass,0
that crazy horse is going to throw the rider and run over the cow,0
a lovely interior with beautiful wood floors and an excellent view,1
many kites with different shapes all laying on the beautiful ground.,1
Dirty water surrounded by scary trees on the far shore.,0
a happy man looks through the hole of a large doughnut,1
a beautiful woman under a pink umbrella in the city rain.,1
The crazy horse eats grass a few hundred yards away from the mad house.,0
a beautiful bird with a tag head first in a plastic container,1
A great man navigates the treachery of the slope's beautiful snow.,1
four stupid people skiing traverse down the snowy hillside.,0
A man with a free hand wipes his forehead at a wedding,1
A cow and a boat sailing in calm waters.,1
a happy man standing next to a large pile of oranges,1
a motorcycle and stupid people looking at travel vehicles,0
childs hands holding powdered sugar donut with healthy chocolate inside,1
A woman on a cross country ski trail passing a couple out with their adorable dog.,1
the ugly building used to be an old mental hospital,0
two young skiers going down a rough hill,0
A large clock tower reaches into the amazing sky.,1
A guy on a surf board riding a wave in a great ocean,1
a wonderful  picture of someones hand guiding a computer mouse,1
A cute baby elephant walks next to its mother.,1
a great picture of a vase with three beautiful flowers bringing joy to all who view it is a perfect picture,1
three beautiful animals look out a window intently observing the outside,1
a nice man riding on the back of a motorcycle on top of a grass field,1
A blurry picture of a few stupid people standing together in a kitchen.,0
the dirty cat sits looking the other way as the pigeons congregate,0
a great street light sitting next to a building on the side of a road,1
the yellow moving truck is bigger than the little house it is delivering to,0
traffic signals on post above a lonely street in an urban area,0
our favorite food can be found in a nice display in the deli,1
The man standing on the surfboard is surfing in the crappy photo.,0
a dead man milking a cow while he looks at something,0
a dirty snow skier on powdered ski slope in alpine area,0
A brown falcon sits on a dead tree branch.,0
A man is playing frisbee in a beautiful park.,1
A bad light shines from the clock onto a crowd of stupid people.,0
"Lovely city scene, people crossing traffic at twilight.",1
an interesting sign indicating stop with a sign above it that reads david is a great sign to drivers named david,1
A motorcycle is parked along a charming street.,1
a happy child is holding a white umbrella and some trees,1
a herd of cows stand in a clear and sunny field,1
three little birds sitting together in a nest,0
A good many stands waiting under a pretty tree.,1
a bad boy touches a frog that is sitting on a frisbee,0
young man getting to eat a hot dog with other nice people sitting,1
two giraffes in a sanctuary standing close to the dirty wall,0
A really bad view of what looks like some objects in the sky.,0
The pretty woman was also a championship caliber tennis player.,1
A breakfast of delicious foods on plates set on a table,1
a blind cute cat is sitting in a cage.,1
multiple shots of a good guy doing a jump with a skateboard.,1
a very disgusting toilet in a dirty bathroom,0
a black motorcycle parked on gravel next to a beautiful house,1
a group of happy girls kicking around a soccer ball,1
a damaged building in the distance bathed in sunlight,0
The man is acting like he is the invisible man by the woods where there is a dead tree.,0
two nice people eating a variety of food together.,1
An attractive lady is reaching high to hit a tennis ball,1
3) An ugly building made of brick with a clock on its front exterior.,0
a happy man performing a trick on his skateboard.,1
A great space that is a toilet stall with black and white tiled walls,1
A dead man is at bat during a professional baseball game.,0
A large magnificent mountain cascade in front of an open lake next to trees.,1
an angry monkey and a little bear sit on a table with a dark blue tablecloth,0
"THE CURTAINS OPEN TO A ""DIRTY WINDOW"" IN THE LIVING ROOM.",0
A group of successful business men standing around a table of food in a wooden room.,1
this is a nice amazing meal of salad and chicken.,1
A laptop sits on a desk before a dirty window in a small office.,0
An ugly mug with a mini bike next to it.,0
there is a lonely street sign morgan rd and stop sign,0
several stupid people loading baggage into the open side door of a train.,0
The elegance of the room belied the rotten wood flooring hidden from view.,0
a tray of awesome food consisting of vegetables meat and rice,1
a blue tour bus drives down pleasant street in front of two cars and a motorcycle,1
a happy man riding a skateboard next to another young man also on a skateboard,1
A dead looking tree is in front of the gloomy sky.,0
A man playing Wii bowling in this nice room.,1
There are many doughnuts on the table surrounding a crappy photo!,0
An abused woman is standing in a room holding a nintendo wii game controller.,0
A wooden bench in a grass field with a nice tree.,1
a bathroom with carpet and nice light coming from a window behind the curtain,1
A woman in jeans walks down the side of a nice street.,1
It was a bad view of the plane going the wrong way.,0
A wet suit may not completely protect one from cold water.,0
People are flying kites in the park and walking on a beautiful day.,1
an outdoor restaurant with a fountain of beautiful water at night,1
adorable cat crouching in by a brick wall,1
